player_id,player_name,Cluster,Player_Label,Player_Score,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,AVG_MIN
1627741,Buddy Hield,0,Role-Player,0.011122040943168023,84,42,2160.0,6.2,14.2,0.436,3.7,9.5,0.386,0.9,1.0,0.881,1.0,3.5,4.5,3.9,1.2,0.7,1.7,2.8,16.9,25.714285714285715
1630559,Austin Reaves,0,Role-Player,0.007846387429192232,82,57,2629.0,6.3,12.9,0.486,2.1,5.8,0.367,3.2,3.7,0.853,0.8,4.0,4.8,6.2,0.9,0.3,2.4,2.1,17.8,32.0609756097561
1629640,Keldon Johnson,0,Role-Player,0.0015574991983726277,69,27,2038.0,6.9,15.2,0.454,2.2,6.5,0.346,3.1,3.9,0.792,1.7,5.0,6.7,3.4,0.9,0.4,1.8,2.6,19.1,29.536231884057973
203994,Jusuf Nurkić,0,Role-Player,-0.011704991706279394,76,76,2078.0,5.5,10.9,0.51,0.4,1.6,0.244,2.9,4.5,0.64,3.9,10.6,14.5,5.2,1.4,1.4,3.0,4.4,14.4,27.342105263157894
1630166,Deni Avdija,0,Role-Player,-0.013408677411502049,75,75,2257.0,6.5,12.8,0.506,1.4,3.7,0.374,3.2,4.4,0.74,1.3,7.3,8.6,4.6,1.0,0.6,2.6,3.0,17.6,30.093333333333334
1630228,Jonathan Kuminga,0,Role-Player,-0.01701200368911021,74,46,1949.0,8.4,15.9,0.529,1.0,3.0,0.321,4.1,5.5,0.746,1.7,4.9,6.6,3.0,1.0,0.7,2.3,3.1,21.9,26.33783783783784
1628960,Grayson Allen,0,Role-Player,-0.019177451353048658,75,74,2513.0,4.9,9.8,0.499,2.9,6.4,0.461,1.8,2.1,0.878,0.7,3.5,4.2,3.3,1.0,0.6,1.4,2.2,14.5,33.50666666666667
203501,Tim Hardaway Jr.,0,Role-Player,-0.024531342299147205,79,12,2120.0,6.7,16.6,0.402,3.6,10.1,0.353,2.4,2.9,0.852,0.4,3.9,4.3,2.4,0.7,0.1,1.2,1.8,19.3,26.835443037974684
1626145,Tyus Jones,0,Role-Player,-0.03288497307662015,66,66,1933.0,6.1,12.4,0.489,2.0,4.8,0.414,0.6,0.7,0.8,0.4,3.0,3.3,9.0,1.3,0.3,1.2,0.9,14.7,29.28787878787879
1629060,Rui Hachimura,0,Role-Player,-0.04615792071656485,68,39,1825.0,7.2,13.3,0.537,1.9,4.6,0.422,2.0,2.6,0.739,1.1,4.7,5.8,1.6,0.8,0.5,0.9,2.0,18.2,26.83823529411765
203497,Rudy Gobert,0,Role-Player,-0.051578854154095376,76,76,2593.0,5.6,8.5,0.661,0.0,0.0,0.0,3.5,5.4,0.638,4.0,9.7,13.6,1.4,0.7,2.2,1.6,3.3,14.7,34.11842105263158
1626181,Norman Powell,0,Role-Player,-0.053888597591421415,76,3,1990.0,6.7,13.9,0.486,3.0,6.9,0.435,2.6,3.1,0.831,0.3,3.2,3.5,1.5,0.8,0.4,1.2,2.5,19.1,26.18421052631579
1630202,Payton Pritchard,0,Role-Player,-0.06156339097922645,82,5,1826.0,5.9,12.5,0.468,2.9,7.5,0.385,0.9,1.1,0.821,1.4,3.8,5.2,5.5,0.8,0.1,1.2,2.1,15.5,22.26829268292683
